481	0,329,670,1638,2405,2555,2703,3269,3540,3641
271	1,26,137,324,387,760,859,921,1239,1325
443	2,626,1054,1428,1876,1952,1998,2056,2202,3675
342	3,25,680,1015,1218,1923,1959,2840,3109,3114
88	4,297,1779,1782,2768,2800,2810,3087,3210,3363
245	5,441,1678,2545,2900,3101,3217,3477,4089,4236
262	6,173,720,1181,1476,1545,1615,2187,2480,2507
110	7,23,172,638,972,1086,1288,1385,1825,2172
19	8,51,531,705,1655,2002,2088,2887,3323,3864
592	9,94,300,959,2766,2815,3346,3438,3783,4261
240	10,36,307,545,570,628,1608,1835,1904,2057
449	11,524,962,1005,1101,1199,1231,1513,3032,3352
130	12,86,224,388,1324,1329,1473,1570,1637,2018
290	13,71,379,953,1105,1883,2041,2320,2449,2646
387	14,59,89,890,1248,1308,1335,1676,1734,1912
498	15,219,246,334,879,1251,1315,1328,1667,1763
554	16,550,913,1047,1065,1491,1508,1578,1910,1970
289	17,316,409,1465,1650,1766,1919,2666,2999,3446
129	18,220,682,749,875,944,987,2266,2702,3427
141	19,103,364,495,887,1091,1242,1627,1914,2595
390	20,933,1524,1700,1756,2369,2731,2837,2852,3078
355	21,61,160,206,514,564,980,1130,1222,1778
73	22,96,546,896,1295,1539,1770,1898,1908,2094
434	24,1208,1230,1319,1414,1656,2003,3002,3036,3081
301	27,259,475,937,1213,1477,2152,2210,2755,3103
574	28,200,507,582,925,963,1007,1367,1498,1590
275	29,431,811,870,1851,2019,2271,2523,3229,3815
323	30,82,158,275,526,1145,1437,2079,2482,2688
339	31,604,1053,1142,1178,2241,2299,2457,2628,3071
511	32,1006,1399,2340,3123,3693,3923,4127,4163
14	33,148,281,306,597,878,1853,2751,2813,2866
191	34,486,1012,1237,1448,1710,2078,2272,2563,2632
333	35,179,704,839,1064,1495,2055,2064,2177,2481
340	37,228,432,641,698,1336,1985,2010,2673,2917
345	38,191,394,702,983,1052,1109,1352,1376,1761
260	39,418,487,928,992,1037,1311,1544,1717,1769
217	40,75,836,1234,1541,2331,2612,2683,2724,2759
95	41,77,750,866,941,1190,1644,2115,2256,2307
62	42,446,644,818,935,1777,2381,2400,2642,2958
495	43,857,1001,1690,1983,2193,2486,2741,3411,3907
65	44,317,361,687,1307,1613,1974,2067,2173,2301
499	45,198,204,284,327,820,964,1160,1400,1530
66	46,199,304,346,1434,1971,2232,2607,3216,3594
362	47,459,606,665,2014,2492,2721,3044,3936,3971
20	48,774,1456,2143,2625,2788,2809,2940,3057,3316
89	49,321,695,723,929,1013,3014,3115,3243,3613
59	50,648,899,1084,1148,1723,2008,2517,3088
543	52,232,538,590,973,1228,1241,1814,2049,2644
559	53,177,192,1447,1503,1651,1891,2278,2306,2336
102	54,218,1282,1391,1572,1808,1840,2309,2414,3085
87	55,114,291,669,850,1804,1854,2175,2342,2966
490	56,663,1196,1511,1709,1893,2635,2694,3024,3202
169	57,430,724,885,1254,1740,1806,2725,2797,3074
40	58,80,438,1108,1375,1493,1752,2650,2799,2818
383	60,178,399,785,895,1386,1892,1902,2428,2706
306	62,112,231,560,837,1233,1712,1750,2214,2289
417	63,315,426,444,558,1079,1189,1244,1431,2184
150	64,113,217,395,945,1096,2120,2136,2398,2429
254	65,1128,1203,1302,1387,1521,1967,2476,2657,2765
120	66,257,1268,1758,2291,2352,2549,3155,3341,3432
599	67,656,802,901,971,1043,1313,1593,1603,2031
386	68,175,552,620,897,916,1416,1762,1811,2127
485	69,144,343,401,416,556,833,1481,1490,1600
74	70,312,843,1510,1694,1753,1874,2442,2726,3736
544	72,445,499,830,1171,1455,2263,2664,2709,2820
134	73,386,496,696,739,1185,2463,2764,3053,3510
29	74,354,957,1394,1759,2896,3353,3718,3816,4044
84	76,302,693,2028,2627,2728,2804,3250,3369,3385
331	78,208,679,867,1278,1871,1986,2316,2690,3075
248	79,133,427,515,614,671,752,888,985,1063
626	81,134,1479,1604,1775,1909,2000,2114,2851,3148
6	83,290,919,1444,1595,2551,2753,3298,3743,3761
325	84,267,781,816,1830,2904,3417,3481,3502,4051
407	85,250,711,1310,1468,2534,2777,3056,3197,3486
472	87,988,1235,1403,1564,2025,2250,2518,2624,2681
349	88,397,437,804,1707,2005,2118,2151,2234,2462
257	90,349,474,822,914,1044,1132,1159,1580,1631
525	91,596,1351,1471,1512,1652,2561,2634,3170,3459
414	92,294,440,770,1175,1422,2315,2516,2776,3182
256	93,789,1223,1343,1415,1900,2144,2487,2566,3093
103	95,193,691,1198,1341,1863,1993,2029,2097,2231
428	97,161,248,1408,1742,2720,2805,2880,2905,3184
96	98,216,742,848,1780,1813,1841,2608,2959,3254
463	99,194,473,924,960,1271,1395,1861,1931,2059
24	100,276,948,1767,2310,2614,3050,3394,4472
285	101,211,455,566,832,1583,2258,2349,2531,3190
523	102,408,617,715,1144,1170,1540,1797,1939,2235
82	104,1056,1870,2761,2863,3028,3059,3494,3530,3624
456	105,280,717,1262,2560,2873,3386,3515,3724,3996
239	106,452,547,909,1679,2265,2544,2727,3220,3620
148	107,470,572,1224,1594,1689,2975,3670,3707,3960
